"length","sau","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
152,"7",41,24,25,8,15,17,0,0,21,0,0,37,65,33,10,28,13,0,147,35,68,119,43,41,83,76,0,0,0,0,10
154,"7",49,21,20,12,12,17,0,0,21,0,0,20,59,37,10,38,19,0,161,63,92,116,38,41,114,83,0,0,0,0,13
156,"7",61,33,31,18,19,29,0,0,23,0,0,14,51,37,9,32,13,0,123,50,66,117,36,44,117,68,0,0,0,0,8
158,"7",45,13,18,5,11,21,0,0,23,0,0,22,61,41,6,24,21,0,124,32,67,83,47,38,114,71,0,0,0,0,10
160,"7",67,32,25,13,10,31,0,0,21,0,0,21,43,39,9,22,8,0,95,46,77,94,42,27,120,60,0,0,0,0,3
162,"7",39,13,19,5,14,13,0,0,17,0,0,8,33,27,5,23,12,0,86,37,59,62,27,25,89,59,0,0,0,0,8
164,"7",33,26,9,4,6,14,0,0,15,0,0,16,54,22,12,19,9,0,80,21,50,71,17,14,86,46,0,0,0,0,4
166,"7",43,28,14,7,10,24,0,0,12,0,0,12,30,23,5,9,6,0,54,37,59,40,17,22,72,49,0,0,0,0,4
168,"7",29,13,7,4,7,6,0,0,7,0,0,4,44,29,1,9,10,0,35,25,37,36,16,9,69,36,0,0,0,0,2
170,"7",24,17,13,7,6,12,0,0,16,0,0,3,16,15,1,7,0,0,53,8,33,35,10,11,47,15,0,0,0,0,2
172,"7",8,7,3,3,8,4,0,0,15,0,0,2,17,11,0,7,2,0,28,13,21,24,2,10,26,16,0,0,0,0,1
174,"7",8,9,6,1,4,6,0,0,6,0,0,4,11,10,0,2,0,0,7,9,23,22,0,11,25,10,0,0,0,0,1
176,"7",6,5,5,0,4,5,0,0,7,0,0,1,5,12,0,0,0,0,15,4,10,15,2,3,24,12,0,0,0,0,2
178,"7",4,4,0,0,4,1,0,0,4,0,0,3,10,10,0,4,3,0,8,4,11,10,2,4,11,6,0,0,0,0,0
180,"7",6,1,0,2,6,1,0,0,6,0,0,0,5,5,1,0,0,0,9,2,7,6,1,5,10,0,0,0,0,0,0
182,"7",2,2,3,0,0,1,0,0,4,0,0,0,2,3,0,1,0,0,5,1,5,1,2,6,3,5,0,0,0,0,2
184,"7",0,1,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,3,0,3,1,0,0,0,0,0,0
186,"7",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,3,0,1,4,0,0,0,0,0,0
188,"7",1,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
190,"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0
192,"7",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
194,"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
196,"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
198,"7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
202,"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"8",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
138,"8",0,1,1,2,2,0,0,0,0,0,0,6,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,1
140,"8",5,3,18,9,25,0,0,0,0,0,0,12,8,1,0,3,0,3,15,29,0,0,0,0,0,0,0,0,0,0,1
142,"8",8,2,8,12,5,0,0,0,0,0,0,34,19,6,0,11,0,18,18,31,0,0,0,0,0,0,0,0,0,0,3
144,"8",6,2,9,9,15,0,0,0,0,0,0,40,15,11,0,17,2,20,30,41,0,0,0,0,0,0,0,0,0,0,8
146,"8",8,9,16,16,26,0,0,0,0,0,0,39,17,5,0,12,1,24,35,54,0,0,0,0,0,0,0,0,0,0,22
148,"8",5,6,7,6,12,0,0,0,0,0,0,63,14,10,0,11,3,13,43,76,0,0,0,0,0,0,0,0,0,0,16
150,"8",6,7,6,12,20,0,0,0,0,0,0,41,9,18,0,13,3,23,21,53,0,0,0,0,0,0,0,0,0,0,24
152,"8",6,6,1,17,15,0,0,0,0,0,0,38,13,13,0,22,3,20,34,62,0,0,0,0,0,0,0,0,0,0,23
154,"8",6,5,4,7,11,0,0,0,0,0,0,43,5,15,0,15,1,16,45,59,0,0,0,0,0,0,0,0,0,0,29
156,"8",12,7,12,16,14,0,0,0,0,0,0,41,7,20,0,14,7,12,37,65,0,0,0,0,0,0,0,0,0,0,19
158,"8",4,4,3,5,10,0,0,0,0,0,0,36,2,25,0,23,3,11,35,60,0,0,0,0,0,0,0,0,0,0,18
160,"8",5,5,7,10,10,0,0,0,0,0,0,30,1,29,0,16,10,9,34,62,0,0,0,0,0,0,0,0,0,0,16
