"length","sau","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
158,"11",14,0,0,13,17,5,0,0,0,0,10,21,11,16,25,13,21,62,119,43,136,190,185,349,270,101,0,0,0,0,155
160,"11",26,0,0,21,30,10,0,0,0,0,5,23,9,13,17,23,11,58,108,27,114,151,166,290,209,126,0,0,0,0,130
162,"11",15,0,0,11,19,8,0,0,0,0,13,19,14,14,27,22,20,43,91,24,101,130,145,254,197,105,0,0,0,0,115
164,"11",14,0,0,4,12,5,0,0,0,0,4,22,14,22,8,14,16,55,76,25,102,102,164,256,181,114,0,0,0,0,106
166,"11",16,0,0,9,22,8,0,0,0,0,4,16,8,17,9,19,10,47,65,19,74,104,127,225,150,93,0,0,0,0,94
168,"11",7,0,0,7,8,6,0,0,0,0,3,13,13,17,5,21,12,27,46,10,68,74,144,176,130,51,0,0,0,0,91
170,"11",18,0,0,11,10,8,0,0,0,0,3,9,1,20,3,23,4,24,42,8,51,68,96,168,92,71,0,0,0,0,73
172,"11",7,0,0,7,1,2,0,0,0,0,6,6,8,14,3,8,4,16,24,7,45,59,104,140,80,46,0,0,0,0,68
174,"11",9,0,0,3,3,3,0,0,0,0,3,9,2,9,11,11,8,12,27,2,23,39,77,101,59,36,0,0,0,0,43
176,"11",6,0,0,2,4,0,0,0,0,0,1,8,4,2,0,13,4,6,17,1,29,37,61,99,56,17,0,0,0,0,34
178,"11",4,0,0,1,1,1,0,0,0,0,1,2,6,6,4,11,3,3,15,4,17,27,55,55,34,15,0,0,0,0,37
180,"11",5,0,0,2,1,1,0,0,0,0,4,6,4,1,1,1,1,6,9,3,10,12,38,59,24,18,0,0,0,0,24
182,"11",0,0,0,1,0,1,0,0,0,0,0,2,2,1,3,9,1,3,4,1,4,12,22,29,23,5,0,0,0,0,17
184,"11",5,0,0,0,3,1,0,0,0,0,0,0,0,1,0,3,2,0,2,1,4,7,24,30,9,7,0,0,0,0,7
186,"11",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,0,4,0,5,7,13,22,12,7,0,0,0,0,8
188,"11",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,3,17,20,10,1,0,0,0,0,6
190,"11",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,3,1,0,3,11,16,3,1,0,0,0,0,2
192,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,5,5,1,0,0,0,0,1
194,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,6,1,5,0,0,0,0,1
196,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,0,0,0,0,0,2
198,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,2,0,0,0,0,0,3
200,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
202,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1
204,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
206,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
208,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"12",0,1,0,1,0,0,0,0,3,10,0,0,0,0,0,3,0,0,2,45,27,62,26,9,2,0,0,0,0,0,3
138,"12",1,1,0,3,1,2,0,0,2,11,0,9,4,4,1,12,3,6,15,76,73,167,61,26,10,0,1,0,0,4,8
140,"12",3,8,3,22,10,10,0,0,5,14,5,33,14,21,9,46,55,33,64,212,190,383,159,184,112,22,5,0,0,5,15
142,"12",5,12,3,32,14,13,0,0,5,32,8,36,15,34,24,95,123,50,83,335,260,544,285,310,229,74,8,0,0,9,43
144,"12",5,11,4,28,5,13,0,0,14,48,4,63,15,51,13,112,161,66,95,353,322,576,336,413,297,110,12,0,0,17,151
146,"12",7,15,3,58,20,20,0,0,13,50,9,78,19,56,23,105,163,62,94,372,337,609,350,422,407,142,6,0,0,35,416
148,"12",12,18,4,32,12,16,0,0,20,60,16,103,36,62,28,124,167,60,98,377,385,653,430,448,487,179,12,0,0,43,547
150,"12",11,16,8,56,22,13,0,0,20,68,14,119,27,63,33,102,157,58,83,376,362,630,426,490,596,208,8,0,0,42,613
152,"12",11,14,6,40,15,13,0,0,24,62,10,121,40,69,43,105,127,82,89,333,358,616,414,492,716,287,9,0,0,38,623
154,"12",8,17,9,35,21,9,0,0,30,55,16,131,40,99,52,100,164,54,71,347,383,586,479,560,737,299,6,0,0,28,694
156,"12",8,22,6,60,33,29,0,0,29,65,18,128,44,86,39,78,154,59,68,328,325,537,441,509,787,342,3,0,0,47,650
158,"12",4,6,9,31,11,19,0,0,25,61,19,118,49,100,39,89,132,62,74,317,306,526,492,491,779,352,6,0,0,35,581
160,"12",10,15,10,54,27,23,0,0,20,61,14,97,38,99,56,75,148,55,62,278,291,433,462,437,807,319,4,0,0,31,553
162,"12",2,6,3,35,22,22,0,0,26,38,9,111,33,81,46,86,138,48,36,252,256,372,408,399,706,309,2,0,0,38,453
164,"12",2,4,6,18,17,16,0,0,18,52,18,108,34,88,53,63,100,54,40,176,246,349,334,338,627,281,7,0,0,28,432
166,"12",3,8,6,24,24,27,0,0,13,40,11,77,22,70,36,52,99,33,21,161,194,292,299,326,565,248,4,0,0,20,391
168,"12",2,7,2,14,7,7,0,0,11,28,7,70,22,63,42,56,77,23,30,148,171,238,266,276,484,252,0,0,0,17,308
170,"12",2,5,5,17,10,16,0,0,23,21,5,68,12,45,33,34,60,21,24,119,159,197,237,238,400,147,0,0,0,21,234
172,"12",1,9,8,12,12,6,0,0,13,25,2,47,11,27,30,40,45,18,13,74,126,120,167,178,304,128,0,0,0,13,165
174,"12",2,1,2,4,7,4,0,0,8,15,4,33,4,26,23,25,31,14,8,57,91,98,158,149,220,121,2,0,0,7,165
176,"12",1,0,2,10,5,9,0,0,8,14,1,26,2,22,17,20,30,17,7,45,68,92,135,126,190,96,2,0,0,6,110
178,"12",0,1,0,4,1,1,0,0,4,16,0,17,8,9,8,13,33,10,6,29,40,55,94,103,128,64,1,0,0,4,85
180,"12",0,1,0,4,1,6,0,0,5,6,0,18,3,8,10,7,12,4,4,29,37,46,78,79,90,47,0,0,0,5,52
182,"12",0,0,1,2,0,2,0,0,3,8,0,10,1,10,5,7,9,2,3,21,22,36,49,45,82,30,1,0,0,3,39
184,"12",0,1,0,1,0,2,0,0,1,5,0,8,0,3,6,8,8,4,4,19,16,19,33,40,61,22,1,0,0,0,31
186,"12",0,1,0,0,0,0,0,0,0,3,0,5,0,3,5,4,0,5,1,6,14,14,26,27,29,24,0,0,0,0,20
188,"12",0,0,0,1,0,0,0,0,2,4,0,3,0,2,0,0,2,1,0,2,11,4,11,35,29,9,1,0,0,0,10
190,"12",0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,2,1,0,0,2,5,3,13,29,20,7,0,0,0,1,7
192,"12",0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,2,2,0,0,2,3,2,8,16,21,8,0,0,0,0,8
194,"12",0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,1,0,0,6,7,9,9,4,0,0,0,2,8
196,"12",0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,3,9,7,10,1,0,0,0,0,0
198,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,4,2,0,0,0,0,4
200,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6,3,2,0,0,0,0,4
202,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,4,4,3,0,0,0,0,0
204,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0
206,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1
208,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
210,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
136,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,22,6,5,8,4,1,0,0,0,0,0,3
138,"13",0,0,0,0,0,0,0,0,0,0,0,3,4,10,2,6,7,5,15,42,20,26,26,4,3,0,0,0,0,0,4
140,"13",0,0,0,0,0,0,0,0,0,0,1,17,20,31,15,58,67,41,31,90,27,73,84,72,30,8,0,0,0,0,3
142,"13",0,0,0,0,0,0,0,0,0,0,9,31,28,28,22,93,189,68,62,114,42,92,121,97,53,19,0,0,0,0,7
144,"13",0,0,0,0,0,0,0,0,0,0,6,46,29,36,32,101,218,60,66,147,51,120,120,109,65,20,0,0,0,0,30
146,"13",0,0,0,0,0,0,0,0,0,0,3,48,37,40,29,98,162,99,79,146,63,87,137,124,108,29,0,0,0,0,80
148,"13",0,0,0,0,0,0,0,0,0,0,7,57,32,34,24,105,203,91,76,145,65,113,114,117,99,33,0,0,0,0,88
150,"13",0,0,0,0,0,0,0,0,0,0,9,51,21,34,18,89,185,88,70,176,64,92,151,109,124,43,0,0,0,0,90
152,"13",0,0,0,0,0,0,0,0,0,0,5,38,25,46,40,97,196,98,55,160,65,106,124,128,153,37,0,0,0,0,91
154,"13",0,0,0,0,0,0,0,0,0,0,9,47,27,75,31,82,184,73,62,128,60,89,123,109,141,34,0,0,0,0,105
156,"13",0,0,0,0,0,0,0,0,0,0,17,74,32,57,45,84,134,70,49,90,56,89,95,151,166,40,0,0,0,0,93
158,"13",0,0,0,0,0,0,0,0,0,0,6,79,22,47,36,65,135,56,45,83,50,71,90,105,148,50,0,0,0,0,89
160,"13",0,0,0,0,0,0,0,0,0,0,6,62,10,46,41,55,105,44,52,70,48,88,69,124,126,27,0,0,0,0,83
162,"13",0,0,0,0,0,0,0,0,0,0,4,56,22,35,40,59,115,47,42,80,39,90,60,115,110,43,0,0,0,0,67
164,"13",0,0,0,0,0,0,0,0,0,0,6,41,28,42,50,36,83,35,41,52,35,68,41,110,94,34,0,0,0,0,48
166,"13",0,0,0,0,0,0,0,0,0,0,6,43,25,28,50,54,81,31,29,53,32,62,50,73,85,20,0,0,0,0,46
168,"13",0,0,0,0,0,0,0,0,0,0,0,33,24,30,37,16,58,19,35,41,23,48,39,76,70,18,0,0,0,0,45
170,"13",0,0,0,0,0,0,0,0,0,0,5,23,26,26,22,22,55,15,20,40,20,43,27,74,60,16,0,0,0,0,20
172,"13",0,0,0,0,0,0,0,0,0,0,3,24,27,16,21,23,47,14,19,29,11,37,29,49,43,10,0,0,0,0,21
174,"13",0,0,0,0,0,0,0,0,0,0,0,20,15,14,16,12,28,14,13,12,7,30,22,67,37,4,0,0,0,0,20
176,"13",0,0,0,0,0,0,0,0,0,0,2,16,10,12,14,8,26,11,13,16,4,22,11,49,22,6,0,0,0,0,16
178,"13",0,0,0,0,0,0,0,0,0,0,3,11,12,8,9,5,19,7,3,14,5,11,12,30,19,2,0,0,0,0,11
180,"13",0,0,0,0,0,0,0,0,0,0,1,6,8,3,6,4,13,6,4,9,1,10,6,18,23,2,0,0,0,0,10
182,"13",0,0,0,0,0,0,0,0,0,0,0,6,5,7,0,4,10,1,5,9,1,7,7,21,10,1,0,0,0,0,5
184,"13",0,0,0,0,0,0,0,0,0,0,0,4,2,5,5,0,6,2,3,3,1,3,5,19,5,1,0,0,0,0,5
186,"13",0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,2,1,0,2,3,0,6,4,16,4,3,0,0,0,0,2
188,"13",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,5,2,0,1,4,11,3,0,0,0,0,0,1
190,"13",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,2,1,4,0,0,0,0,0,1
192,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,4,3,1,0,0,0,0,0,2
194,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1
196,"13",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0
198,"13",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0
200,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
202,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
204,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
206,"13",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
208,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
