Western_Zone_Blacklip,,,,,,,,,
,,,,,,,,,
NYRS,46,,,,,,,,
,,,,,,,,,
,,,,,,,,,
YEARS,6,7,8,9,10,11,12,13,totC
1974,8,1,,3,24,82,143,16,277
1975,21,36,42,126,130,191,143,43,732
1976,30,56,77,252,179,240,153,62,1049
1977,19,24,22,123,98,153,189,39,667
1978,28,13,27,115,258,275,208,58,982
1979,31,19,23,172,166,269,325,63,1067
1980,42,81,63,316,195,338,351,87,1473
1981,48,88,87,444,260,417,246,99,1690
1982,30,34,34,249,100,303,235,62,1047
1983,38,102,58,199,175,430,242,78,1322
1984,50,78,38,248,284,682,258,102,1740
1985,36,99,23,246,140,479,155,74,1252
1986,27,97,11,133,127,289,194,55,933
1987,31,84,44,251,82,339,195,64,1090
1988,25,53,27,160,126,276,162,52,881
1989,21,49,46,120,109,212,145,44,746
1990,19,56,21,95,80,232,125,39,667
1991,20,54,30,102,106,219,140,42,713
1992,23,70,40,102,96,267,160,47,805
1993,21,67,40,110,65,197,177,42,718
1994,18,37,38,78,60,203,160,37,631
1995,17,33,17,44,69,186,185,34,584
1996,16,68,13,59,75,145,148,33,558
1997,24,75,28,140,66,224,227,49,833
1998,18,50,27,78,47,165,204,37,626
1999,23,60,24,115,58,220,251,47,799
2000,21,61,23,205,148,333,288,54,1132
2001,49,32,15,186,157,321,304,43,1107
2002,31,52,17,174,149,366,237,93,1118
2003,34,104,27,142,246,352,232,67,1205
2004,24,89,22,130,193,390,250,96,1194
2005,26,110,26,92,149,389,311,65,1167
2006,50,75,6,143,198,384,229,89,1175
2007,34,39,18,178,231,354,267,68,1189
2008,35,51,9,156,178,345,305,79,1159
2009,47,107,51,155,110,244,327,77,1118
2010,23,110,37,159,158,245,278,68,1079
2011,17,95,48,171,159,247,257,56,1049
2012,59,97,19,172,146,273,267,44,1076
2013,11,44,8,158,180,288,251,41,983
2014,34,44,5,98,142,220,249,37,830
2015,32,65,11,89,115,240,245,34,831
2016,19,31,12,62,77,170,299,34,704
2017,12,37,7,56,78,195,274,42,701
2018,11,41,14,57,89,174,262,52,700
2019,16,53,5,65,81,179,251,53,703
